,BFA,BOTNET,DDoS,DoS,Normal,Probe,U2R,Web-Attack
Fwd Seg Size Avg,0.00043993403,0.0,0.0,0.003445067,8.7525914e-05,0.0,0.0036227875,0.0010057403
Bwd Seg Size Avg,0.0002995044,0.0,0.0,0.0006499653,0.00026463985,0.0010314335,0.039694615,0.042397115
Fwd Byts/b Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Pkts/b Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Blk Rate Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Byts/b Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Pkts/b Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Blk Rate Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subflow Fwd Pkts,0.0,0.0028709248,0.0036503132,0.0074001336,0.0,0.00022404808,0.0,0.0
Subflow Fwd Byts,0.0013059253,0.0001511764,0.0,0.001804017,0.0,0.008586339,0.004249618,0.0036753959
Subflow Bwd Pkts,0.0028534455,0.0,5.0634597e-05,0.0052599967,0.0005775513,0.0016866454,0.0,0.0
Subflow Bwd Byts,0.0,0.0,0.0,7.340903e-05,0.0008177339,0.0,0.003820595,0.002765949
Init Fwd Win Byts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Init Bwd Win Byts,0.101630054,0.0899157,0.019226182,0.04531897,0.19196196,0.11598461,0.0,0.19987857
Fwd Act Data Pkts,0.0,0.0,2.1176854e-07,0.00036904207,0.0,0.0029635248,0.0048212414,0.00060063804
Fwd Seg Size Min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active Mean,0.0,0.0010158634,0.0022459226,6.461426e-05,0.0013323096,0.00023238463,0.0,0.0
Active Std,0.0,0.0,0.0,4.854841e-05,8.152485e-05,0.0,0.0,0.00027628348
Active Max,0.0,0.0,0.0,5.3963913e-06,0.0013791618,0.00019562939,0.0,0.0
Active Min,0.0,0.00037960813,0.00476519,0.00034537018,0.0038486095,3.2589047e-05,0.00046527863,0.0
Idle Mean,0.0,0.0,5.0030276e-06,0.0019855564,0.0020680241,0.0010535889,0.0,4.8690617e-05
Idle Std,0.0,0.0,5.2839223e-05,5.0032424e-05,0.0037639984,0.0,0.0,0.00068981276
Idle Max,0.0006749795,0.0,0.0,0.00030883888,6.928132e-05,0.0004023564,0.0,0.0
Idle Min,0.0,0.0,0.012302799,0.00026834916,0.000423208,0.003553419,0.0,0.0
