,BFA,BOTNET,DDoS,DoS,Normal,Probe,U2R,Web-Attack
CWE Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECE Flag Cnt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Down/Up Ratio,0.0,0.0,0.00065285777,0.024952337,9.884271e-06,0.00086416845,0.0,5.0952443e-05
Pkt Size Avg,0.0,0.0,7.018725e-05,0.0011115113,5.223558e-05,0.0049114637,0.030090785,0.0
Fwd Seg Size Avg,0.0004217234,0.0,0.0,0.0004262973,0.0,0.0,0.0,0.0010155125
Bwd Seg Size Avg,0.0009749377,0.0,0.0,0.0,0.0,0.0,0.0,0.0015191871
Fwd Byts/b Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Pkts/b Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Blk Rate Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Byts/b Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Pkts/b Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Blk Rate Avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subflow Fwd Pkts,0.0020764363,0.0017068363,1.717691e-05,0.00011040667,0.0,0.0,0.0,0.0
Subflow Fwd Byts,0.00031666344,0.0,0.0,0.0009764281,0.0,0.0014415212,0.0,0.0
Subflow Bwd Pkts,0.0,0.0,0.0,0.00036630916,0.0,0.0,0.0,0.0
Subflow Bwd Byts,0.0,0.0,0.0,0.0,0.0,0.0,0.002814348,0.0
Init Fwd Win Byts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Init Bwd Win Byts,0.0243895,0.092550635,0.0013529743,0.0060390104,0.14976795,0.041929238,0.04621497,0.020132216
Fwd Act Data Pkts,0.005823254,0.0,0.0,0.0037318494,4.056496e-06,0.0,0.0,0.0004324638
Fwd Seg Size Min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active Mean,0.0,0.0,0.002017395,8.775443e-06,0.0,0.00012242697,0.0,0.0
Active Std,0.0,0.0,3.0049143e-05,0.0,0.0,0.0,0.0,5.0855735e-05
Active Max,0.0,0.0,0.00022741484,0.0,0.0,5.5563196e-05,0.0,0.0007592399
Active Min,0.0,0.0,0.0018472522,0.00010753614,1.6494234e-06,0.0,0.0,0.004078943
Idle Mean,0.0,0.0,0.0,0.0008190879,0.0,0.0,0.0,0.0004916166
Idle Std,0.0005089313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idle Max,0.0,0.0,0.0,0.0,6.45383e-06,0.0,0.0,0.0
Idle Min,0.0006011881,0.0,7.1834334e-06,0.0,0.0,0.00034268494,0.0,0.00021423536
